Record_Year,Primary diagnosis: summary code and description,Unnamed: 1,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency.1,Elective,Other
2012-13,B20-B24,Human imrnunodeficiency virus [HIV] disease,6082.0,4356.0,4476.0,1606.0,0.0,1863.0,703.0,1627.0,163.0,28.0,15.0,12.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965.0,32972.0,,,
2012-13,B25-B34,Other viral diseases,103468.0,96723.0,59892.0,43576.0,0.0,95265.0,396.0,663.0,399.0,30.0,5.0,1.0,1.0,10.0,18706.0,52860.0,8779.0,2871.0,548.0,607.0,606.0,739.0,721.0,2774.0,2060.0,1671.0,1526.0,1473.0,1294.0,1209.0,1035.0,912.0,812.0,576.0,567.0,495.0,326.0,190.0,572.0,93894.0,,,
2012-13,B35-B49,Mycoses,7320.0,5543.0,3621.0,3699.0,0.0,2399.0,2481.0,596.0,67.0,24.0,15.0,7.7,2.0,56.0,451.0,244.0,105.0,62.0,19.0,12.0,25.0,16.0,21.0,153.0,132.0,167.0,196.0,280.0,385.0,433.0,534.0,603.0,779.0,700.0,722.0,550.0,413.0,214.0,2757.0,22943.0,,,
2012-13,B50-B64,Protozoal diseases,3113.0,2114.0,1978.0,1135.0,0.0,1709.0,206.0,111.0,88.0,15.0,7.0,6.3,3.0,42.0,11.0,45.0,66.0,58.0,18.0,25.0,11.0,19.0,34.0,329.0,261.0,233.0,208.0,281.0,287.0,255.0,182.0,201.0,193.0,94.0,66.0,29.0,20.0,0.0,264.0,12568.0,,,
2012-13,B65-B83,Helminthiases,774.0,712.0,410.0,364.0,0.0,274.0,371.0,62.0,5.0,36.0,28.0,3.7,2.0,31.0,1.0,52.0,70.0,91.0,15.0,17.0,14.0,12.0,14.0,58.0,39.0,50.0,65.0,68.0,62.0,40.0,24.0,25.0,25.0,12.0,11.0,3.0,4.0,0.0,347.0,1376.0,,,
2012-13,B85-B99,Other infectious and parasitic diseases,917.0,641.0,433.0,484.0,0.0,547.0,48.0,36.0,10.0,35.0,19.0,5.7,3.0,56.0,48.0,52.0,41.0,18.0,4.0,1.0,1.0,2.0,5.0,19.0,14.0,11.0,16.0,35.0,27.0,28.0,45.0,83.0,71.0,68.0,81.0,85.0,108.0,53.0,64.0,3467.0,,,
2012-13,C00-C14,Malignant neoplasm of liporal cavity and pharynx,23778.0,21336.0,16998.0,6778.0,2.0,2370.0,10413.0,8390.0,163.0,17.0,12.0,7.0,3.0,60.0,4.0,34.0,93.0,39.0,17.0,8.0,5.0,7.0,30.0,58.0,110.0,192.0,402.0,998.0,1886.0,3230.0,4150.0,4039.0,3584.0,2073.0,1398.0,738.0,434.0,204.0,9268.0,84685.0,,,
2012-13,C15-C26,Malignant neoplasm of digestive organs,274820.0,233945.0,166609.0,108208.0,3.0,28340.0,81310.0,122701.0,1594.0,17.0,13.0,9.7,6.0,67.0,116.0,327.0,48.0,56.0,14.0,23.0,21.0,20.0,20.0,331.0,826.0,1795.0,2168.0,4847.0,10239.0,16268.0,25741.0,38600.0,47604.0,44078.0,39339.0,24879.0,12187.0,4938.0,157135.0,787841.0,,,
2012-13,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,113174.0,92727.0,64332.0,48837.0,5.0,17709.0,28522.0,45444.0,1052.0,14.0,8.0,8.9,5.0,68.0,18.0,265.0,38.0,51.0,49.0,18.0,6.0,3.0,13.0,166.0,170.0,247.0,509.0,1367.0,3121.0,5592.0,10820.0,16475.0,22442.0,20537.0,16222.0,9239.0,4322.0,1379.0,58410.0,338656.0,,,
2012-13,C40-C41,Malignant neoplasm of bone and articular cartilage,7636.0,7316.0,4515.0,3121.0,0.0,646.0,2048.0,4572.0,50.0,59.0,13.0,6.3,4.0,28.0,16.0,342.0,835.0,1187.0,363.0,266.0,330.0,251.0,246.0,870.0,390.0,257.0,243.0,255.0,213.0,314.0,222.0,256.0,261.0,195.0,151.0,94.0,53.0,22.0,3036.0,27106.0,,,
2012-13,C43-C44,Malignant neoplasms of skin,126908.0,125997.0,72999.0,53900.0,9.0,1135.0,117632.0,7131.0,99.0,47.0,31.0,3.4,1.0,72.0,1.0,8.0,22.0,32.0,19.0,26.0,13.0,18.0,19.0,272.0,491.0,950.0,1435.0,2552.0,3891.0,4992.0,6266.0,9648.0,15352.0,17396.0,20900.0,20155.0,14382.0,7977.0,115735.0,34575.0,,,
2012-13,C45-C49,Malignant neoplasms of mesothelial and soft tissue,22009.0,19891.0,12297.0,9711.0,1.0,2806.0,5695.0,11197.0,193.0,25.0,12.0,6.7,3.0,59.0,172.0,807.0,526.0,404.0,147.0,86.0,100.0,46.0,58.0,407.0,215.0,336.0,338.0,542.0,710.0,1057.0,1384.0,2497.0,3719.0,3455.0,2623.0,1474.0,667.0,199.0,11637.0,56725.0,,,
2012-13,C50,Malignant neoplasm of breast,180595.0,177514.0,980.0,179611.0,4.0,4810.0,58879.0,113625.0,200.0,20.0,17.0,3.0,1.0,58.0,0.0,1.0,1.0,0.0,2.0,0.0,9.0,4.0,0.0,174.0,1236.0,3374.0,6983.0,14822.0,25258.0,27036.0,21798.0,24552.0,23484.0,13959.0,9501.0,5252.0,2242.0,749.0,139316.0,109365.0,,,
2012-13,C51-C58,Malignant neoplasms of female genital organs,67859.0,63847.0,7.0,67847.0,5.0,5417.0,23071.0,35054.0,305.0,20.0,15.0,5.9,3.0,62.0,11.0,46.0,14.0,150.0,18.0,17.0,35.0,105.0,4.0,373.0,1155.0,1343.0,1792.0,2528.0,4144.0,5778.0,7428.0,9299.0,11312.0,9390.0,6987.0,3765.0,1492.0,568.0,41041.0,135029.0,,,
2012-13,C60-C63,Malignant neoplasms of male genital organs,68396.0,63918.0,68383.0,12.0,1.0,5613.0,31647.0,26265.0,393.0,33.0,22.0,5.3,2.0,67.0,5.0,110.0,19.0,57.0,30.0,63.0,67.0,123.0,86.0,933.0,1113.0,1045.0,712.0,800.0,1082.0,2118.0,4630.0,8571.0,13696.0,12014.0,10426.0,6319.0,3119.0,1169.0,40430.0,125715.0,,,
2012-13,C64-C68,Malignant neoplasms of urinary tract,98814.0,91824.0,72378.0,26434.0,2.0,5610.0,46669.0,39153.0,392.0,32.0,25.0,5.1,2.0,70.0,146.0,1641.0,638.0,202.0,24.0,2.0,7.0,35.0,16.0,75.0,92.0,261.0,422.0,1037.0,1972.0,3557.0,5210.0,9683.0,14739.0,16512.0,17749.0,14062.0,7812.0,2853.0,51295.0,206763.0,,,
2012-13,C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",23620.0,19453.0,13521.0,10098.0,1.0,5033.0,5097.0,8273.0,1050.0,90.0,13.0,9.7,5.0,40.0,502.0,3001.0,2217.0,1339.0,271.0,142.0,116.0,138.0,144.0,487.0,590.0,729.0,816.0,1035.0,1239.0,1589.0,1496.0,2116.0,1914.0,1451.0,1105.0,667.0,352.0,151.0,9065.0,105314.0,,,
2012-13,"C73-C80, C97",Malignant neoplsm. of thyroid and oth. endo. Glands etc,145523.0,121831.0,57007.0,88515.0,1.0,25621.0,34995.0,59559.0,1656.0,22.0,13.0,7.7,4.0,63.0,459.0,1618.0,1093.0,474.0,130.0,157.0,124.0,106.0,104.0,630.0,1020.0,1632.0,2345.0,4888.0,8299.0,11027.0,13639.0,19620.0,23670.0,20255.0,16400.0,10353.0,5420.0,1929.0,67379.0,449377.0,,,
2012-13,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",333717.0,318210.0,195491.0,138223.0,3.0,22552.0,49085.0,245118.0,1455.0,35.0,7.0,9.7,4.0,60.0,233.0,7624.0,7446.0,5306.0,1041.0,1176.0,1171.0,1430.0,1163.0,4935.0,5618.0,5576.0,5962.0,9768.0,14138.0,18689.0,27186.0,38818.0,50465.0,46517.0,40058.0,25548.0,9892.0,2970.0,269098.0,491234.0,,,
2012-13,D00-D48,In situ & benign neoplasms and others of uncertainty,363808.0,351042.0,167269.0,196519.0,20.0,14171.0,241484.0,93397.0,1990.0,44.0,29.0,3.9,2.0,58.0,3055.0,2561.0,2534.0,3481.0,1012.0,1093.0,1174.0,1169.0,1225.0,7181.0,11812.0,12714.0,14461.0,22015.0,29674.0,26748.0,24983.0,34589.0,41795.0,37578.0,34565.0,26301.0,14434.0,6061.0,269583.0,320401.0,,,
2012-13,D50-D64,Anaemias,235605.0,204897.0,104201.0,131403.0,1.0,49207.0,88597.0,66515.0,578.0,25.0,15.0,3.8,1.0,60.0,671.0,3841.0,5207.0,3908.0,933.0,966.0,1141.0,1121.0,1214.0,7264.0,7381.0,7515.0,7705.0,10895.0,13028.0,12424.0,11875.0,14773.0,20056.0,23176.0,26985.0,25260.0,18207.0,9526.0,145686.0,234198.0,,,
2012-13,D65-D89,Diseases of the blood and blood-forming organs,77187.0,70457.0,42440.0,34746.0,1.0,17240.0,11612.0,41179.0,426.0,31.0,9.0,4.6,2.0,49.0,840.0,4193.0,4211.0,2227.0,505.0,471.0,330.0,408.0,505.0,2354.0,1996.0,2904.0,2865.0,3878.0,5026.0,5925.0,5596.0,6456.0,8028.0,6380.0,5582.0,3803.0,1677.0,599.0,48552.0,100270.0,,,
2012-13,E00-E07,Disorders of thyroid gland,15160.0,13533.0,3012.0,12147.0,1.0,2272.0,9709.0,1485.0,67.0,63.0,48.0,2.9,1.0,51.0,317.0,112.0,97.0,199.0,62.0,59.0,48.0,50.0,48.0,400.0,698.0,965.0,1085.0,1374.0,1615.0,1505.0,1270.0,1218.0,1128.0,860.0,770.0,609.0,409.0,228.0,3350.0,30419.0,,,
2012-13,E10-E14,Diabetes Mellitus,73592.0,50221.0,40071.0,33520.0,1.0,39467.0,7930.0,2256.0,568.0,32.0,22.0,5.8,2.0,49.0,29.0,847.0,1520.0,3383.0,810.0,922.0,1118.0,1341.0,1188.0,4945.0,3676.0,3213.0,3241.0,4317.0,4613.0,4993.0,5181.0,4794.0,5003.0,4714.0,5205.0,4467.0,2591.0,1253.0,8386.0,254050.0,,,
